name,price,type,max_motherboard_form_factor,color,included_psu_wattage,has_included_psu,side_panel,external_volume,internal_35_bays,price_available
Deepcool MACUBE 110,,MicroATX Mini Tower,Micro ATX,Black,,False,Tempered Glass,38.8,2,False
Jonsbo N3,3099.8,Mini ITX Desktop,Mini ITX,Black,,False,Solid,18.2,0,True
be quiet! Light Base 900 FX,4998.0,ATX Full Tower,ATX,Black,,False,Tempered Glass,84.2,1,True
Thermaltake View 380 XL TG ARGB,1999.8,ATX Mid Tower,ATX,Black,,False,Tempered Glass,63.6,1,True
Cooler Master HAF 700 EVO,8999.79,ATX Full Tower,ATX,Gray / Black,,False,Tempered Glass,,12,True
darkFlash DB330M,1189.8,MicroATX Mini Tower,Micro ATX,Black,,False,Tempered Glass,29.0,1,True
Corsair 2000D AIRFLOW,2799.8,Mini ITX Tower,Mini ITX,Black,,False,Mesh,24.8,0,True
Corsair 2500D Airflow,2038.6,MicroATX Mini Tower,Micro ATX,Black,,False,Tempered Glass,54.8,2,True
Corsair 2000D AIRFLOW,2399.79,Mini ITX Tower,Mini ITX,White,,False,Mesh,24.8,0,True
be quiet! Silent Base 802,3798.0,ATX Mid Tower,ATX,Black,,False,Solid,83.8,3,True
Fractal Design Mood,3259.4,Mini ITX Tower,Mini ITX,Black,,False,Mesh,20.4,1,True
KOLINK Observatory MX Glass ARGB,,ATX Mid Tower,ATX,Black / White,,False,Tempered Glass,30.8,2,False
HYTE Y40,2599.8,ATX Mid Tower,ATX,White,,False,Tempered Glass,49.7,1,True
Antec C8,3996.0,ATX Full Tower,ATX,White,,False,Tempered Glass,66.9,2,True
Fractal Design Meshify 3,3099.8,ATX Mid Tower,ATX,Black,,False,Solid,50.3,2,True
DARKROCK Classico Storage Master,1799.8,ATX Mid Tower,ATX,Black,,False,Mesh,,10,True
