name,price,capacity,price_per_gb,type,cache,form_factor,interface
Toshiba X300,2980.0,4000.0,0.037,7200,128.0,3.5,SATA 6.0 Gb/s
Western Digital Blue,2199.79,2000.0,0.055,5400,64.0,3.5,SATA 6.0 Gb/s
HP EX920,2226.39,1000.0,0.111,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4
Samsung 960 Pro,7999.8,1000.0,0.4,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Gold,6999.8,16000.0,0.022,7200,512.0,3.5,SATA 6.0 Gb/s
Seagate Exos X24,6589.0,16000.0,0.021,7200,512.0,3.5,SATA 6.0 Gb/s
Seagate Exos X24,10199.79,24000.0,0.021,7200,512.0,3.5,SAS 12.0 Gb/s
Western Digital WD Red Pro,3999.8,6000.0,0.033,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda Pro,6489.0,12000.0,0.027,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate Constellation ES.3,960.0,1000.0,0.048,7200,128.0,3.5,SATA 6.0 Gb/s
Western Digital Blue Mobile,570.0,500.0,0.057,5400,16.0,2.5,SATA 6.0 Gb/s
Seagate Barracuda Compute,1139.8,1000.0,0.057,5400,64.0,3.5,SATA 6.0 Gb/s
Toshiba MG08ADA800E,4973.2,8000.0,0.031,7200,256.0,3.5,SATA 6.0 Gb/s
Toshiba MG03SCA,600.0,1000.0,0.03,7200,64.0,3.5,SAS 6.0 Gb/s
Western Digital Blue Mobile,990.0,1000.0,0.05,5400,128.0,2.5,SATA 6.0 Gb/s
Western Digital Blue,699.8,500.0,0.07,7200,32.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda Pro,5759.8,10000.0,0.029,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Purple Surveillance,2556.6,6000.0,0.021,5400,256.0,3.5,SATA 6.0 Gb/s
Seagate Constellation ES.2,940.0,3000.0,0.016,7200,64.0,3.5,SAS 6.0 Gb/s
Western Digital WD_BLACK,2999.8,6000.0,0.025,7200,128.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro NAS,3840.0,6000.0,0.032,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Caviar Blue,460.0,500.0,0.046,5400,8.0,2.5,SATA 6.0 Gb/s
Western Digital Red,5980.0,12000.0,0.025,5400,256.0,3.5,SATA 6.0 Gb/s
Seagate Momentus 5400.6,573.8,500.0,0.057,5400,8.0,2.5,SATA 3.0 Gb/s
Western Digital WD_BLACK,939.8,500.0,0.094,7200,64.0,3.5,SATA 6.0 Gb/s
Seagate ST6000NM0024,2960.0,6000.0,0.025,7200,128.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,4589.0,6000.0,0.038,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate Exos X16,5900.0,14000.0,0.021,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Blue,709.59,500.0,0.071,5400,64.0,3.5,SATA 6.0 Gb/s
Western Digital Ultrastar DC HC330,5399.8,10000.0,0.027,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Caviar Blue,700.0,250.0,0.14,7200,16.0,3.5,SATA 6.0 Gb/s
Seagate SkyHawk Surveillance,3719.8,2000.0,0.093,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,4589.8,8000.0,0.029,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate SkyHawk Surveillance +Rescue,1381.2,2000.0,0.035,5400,256.0,3.5,SATA 6.0 Gb/s
